Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
CNN-augmented_Adam_lr0.01_wd0.0,42,25,0.2351,0.9634,0.9006,0.684,0.576,0.8129,11.74
CNN-augmented_Adam_lr0.01_wd0.0,42,26,0.2288,0.9791,0.9043,0.6778,0.5735,0.797,11.72
CNN-augmented_Adam_lr0.01_wd0.0,42,27,0.2297,0.8423,0.9054,0.7138,0.6459,0.8269,11.79
CNN-augmented_Adam_lr0.01_wd0.0,42,28,0.2234,0.9433,0.9081,0.7038,0.6148,0.8366,11.72
CNN-augmented_Adam_lr0.01_wd0.0,42,29,0.2286,0.6591,0.9055,0.7516,0.7431,0.834,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,30,0.2193,0.9229,0.9097,0.6806,0.5723,0.8157,11.7
CNN-augmented_Adam_lr0.01_wd0.0,15,1,0.5557,0.5815,0.6743,0.736,0.7475,0.8155,12.02
CNN-augmented_Adam_lr0.01_wd0.0,15,2,0.4335,0.5448,0.789,0.7449,0.7521,0.8239,12.02
CNN-augmented_Adam_lr0.01_wd0.0,15,3,0.411,0.5694,0.8021,0.737,0.7175,0.83,12.03
CNN-augmented_Adam_lr0.01_wd0.0,15,4,0.3824,0.5137,0.8237,0.7579,0.7504,0.8482,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,5,0.3676,0.5825,0.8323,0.7317,0.6959,0.8506,12.03
CNN-augmented_Adam_lr0.01_wd0.0,15,6,0.3546,0.5268,0.8415,0.7443,0.7301,0.8445,12.02
CNN-augmented_Adam_lr0.01_wd0.0,15,7,0.3502,0.5718,0.8453,0.7404,0.7168,0.8465,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,8,0.3384,0.6013,0.8514,0.7331,0.7018,0.842,12.0
CNN-augmented_Adam_lr0.01_wd0.0,15,9,0.3212,0.5175,0.8594,0.7584,0.7636,0.8504,12.0
CNN-augmented_Adam_lr0.01_wd0.0,15,10,0.315,0.53,0.8628,0.7644,0.7579,0.8574,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,11,0.3035,0.5686,0.8697,0.7475,0.7097,0.8665,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,12,0.2972,0.6407,0.8722,0.7263,0.6631,0.8668,11.98
CNN-augmented_Adam_lr0.01_wd0.0,15,13,0.2858,0.6846,0.8778,0.7089,0.6391,0.8544,11.98
CNN-augmented_Adam_lr0.01_wd0.0,15,14,0.2754,0.6817,0.8819,0.7144,0.6439,0.8615,12.0
CNN-augmented_Adam_lr0.01_wd0.0,15,15,0.2718,0.9068,0.8834,0.6372,0.4745,0.837,12.01
CNN-augmented_Adam_lr0.01_wd0.0,15,16,0.2661,0.6803,0.8894,0.7369,0.6788,0.8679,12.02
CNN-augmented_Adam_lr0.01_wd0.0,15,17,0.2571,0.5542,0.8944,0.7812,0.7781,0.8692,12.03
